java -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold4/train.txt -ranker 6 -test MSLR-WEB10K/Fold4/test.txt -validate MSLR-WEB10K/Fold4/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold4/train.txt
Test data:	MSLR-WEB10K/Fold4/test.txt
Validation data:	MSLR-WEB10K/Fold4/vali.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 10
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [MSLR-WEB10K/Fold4/train.txt]... [Done.]            
(6000 ranked lists, 718768 entries read)
Reading feature file [MSLR-WEB10K/Fold4/vali.txt]... [Done.]            
(2000 ranked lists, 239093 entries read)
Reading feature file [MSLR-WEB10K/Fold4/test.txt]... [Done.]            
(2000 ranked lists, 242331 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
139     | 0.4257    | 0.4182    | 
140     | 0.4258    | 0.4184    | 
141     | 0.4261    | 0.4187    | 
142     | 0.4263    | 0.4186    | 
143     | 0.4264    | 0.4188    | 
144     | 0.4264    | 0.4187    | 
145     | 0.4265    | 0.4189    | 
146     | 0.4265    | 0.4191    | 
147     | 0.4267    | 0.4192    | 
148     | 0.4267    | 0.4191    | 
149     | 0.4265    | 0.4193    | 
150     | 0.4266    | 0.4194    | 
151     | 0.4266    | 0.4194    | 
152     | 0.4266    | 0.4193    | 
153     | 0.4266    | 0.4194    | 
154     | 0.4268    | 0.4195    | 
155     | 0.4269    | 0.4195    | 
156     | 0.4269    | 0.4195    | 
157     | 0.427     | 0.4198    | 
158     | 0.4271    | 0.4198    | 
159     | 0.427     | 0.4199    | 
160     | 0.427     | 0.4201    | 
161     | 0.427     | 0.4203    | 
162     | 0.4271    | 0.4202    | 
163     | 0.4272    | 0.4202    | 
164     | 0.4273    | 0.4204    | 
165     | 0.4274    | 0.4205    | 
166     | 0.4276    | 0.4205    | 
167     | 0.4276    | 0.4204    | 
168     | 0.428     | 0.4205    | 
169     | 0.4281    | 0.4203    | 
170     | 0.428     | 0.4205    | 
171     | 0.4282    | 0.4206    | 
172     | 0.4284    | 0.4206    | 
173     | 0.4283    | 0.421     | 
174     | 0.4283    | 0.4208    | 
175     | 0.4283    | 0.421     | 
176     | 0.4283    | 0.4211    | 
177     | 0.4283    | 0.4211    | 
178     | 0.4285    | 0.4212    | 
179     | 0.4285    | 0.4209    | 
180     | 0.4286    | 0.4208    | 
181     | 0.4288    | 0.4212    | 
182     | 0.4288    | 0.4211    | 
183     | 0.4287    | 0.4211    | 
184     | 0.4289    | 0.421     | 
185     | 0.429     | 0.4214    | 
186     | 0.4292    | 0.4212    | 
187     | 0.4291    | 0.4212    | 
188     | 0.429     | 0.4212    | 
189     | 0.429     | 0.4212    | 
190     | 0.4291    | 0.4213    | 
191     | 0.4291    | 0.4211    | 
192     | 0.4292    | 0.4209    | 
193     | 0.4291    | 0.4209    | 
194     | 0.4291    | 0.4212    | 
195     | 0.4292    | 0.4215    | 
196     | 0.4292    | 0.4214    | 
197     | 0.4292    | 0.4212    | 
198     | 0.4293    | 0.4213    | 
199     | 0.4294    | 0.4209    | 
200     | 0.4293    | 0.4209    | 
201     | 0.4294    | 0.4209    | 
202     | 0.4293    | 0.4211    | 
203     | 0.4294    | 0.4211    | 
204     | 0.4294    | 0.4214    | 
205     | 0.4295    | 0.4215    | 
206     | 0.4294    | 0.4216    | 
207     | 0.4296    | 0.4219    | 
208     | 0.4297    | 0.4219    | 
209     | 0.4297    | 0.422     | 
210     | 0.4298    | 0.422     | 
211     | 0.4298    | 0.422     | 
212     | 0.4298    | 0.422     | 
213     | 0.43      | 0.4222    | 
214     | 0.43      | 0.4222    | 
215     | 0.4301    | 0.4224    | 
216     | 0.4301    | 0.4224    | 
217     | 0.43      | 0.4225    | 
218     | 0.4301    | 0.4224    | 
219     | 0.4302    | 0.4223    | 
220     | 0.4303    | 0.4224    | 
221     | 0.4303    | 0.4223    | 
222     | 0.4304    | 0.4224    | 
223     | 0.4305    | 0.4223    | 
224     | 0.4306    | 0.4226    | 
225     | 0.4307    | 0.4228    | 
226     | 0.4308    | 0.4227    | 
227     | 0.4308    | 0.4227    | 
228     | 0.4308    | 0.4228    | 
229     | 0.4309    | 0.4228    | 
230     | 0.431     | 0.4227    | 
231     | 0.431     | 0.4228    | 
232     | 0.431     | 0.4228    | 
233     | 0.431     | 0.4228    | 
234     | 0.431     | 0.4226    | 
235     | 0.4312    | 0.4226    | 
236     | 0.4312    | 0.4228    | 
237     | 0.4315    | 0.423     | 
238     | 0.4315    | 0.4231    | 
239     | 0.4312    | 0.4234    | 
240     | 0.4313    | 0.4235    | 
241     | 0.4315    | 0.4236    | 
242     | 0.4314    | 0.4237    | 
243     | 0.4315    | 0.4237    | 
244     | 0.4316    | 0.4236    | 
245     | 0.4316    | 0.4236    | 
246     | 0.4316    | 0.4236    | 
247     | 0.4316    | 0.4234    | 
248     | 0.4318    | 0.4236    | 
249     | 0.4317    | 0.4235    | 
250     | 0.4317    | 0.4239    | 
251     | 0.4319    | 0.4239    | 
252     | 0.4318    | 0.4236    | 
253     | 0.4318    | 0.4238    | 
254     | 0.4318    | 0.4238    | 
255     | 0.4319    | 0.4235    | 
256     | 0.4319    | 0.4235    | 
257     | 0.432     | 0.4235    | 
258     | 0.432     | 0.4235    | 
259     | 0.4322    | 0.4238    | 
260     | 0.4321    | 0.4238    | 
261     | 0.4323    | 0.4239    | 
262     | 0.4323    | 0.424     | 
263     | 0.4322    | 0.424     | 
264     | 0.4323    | 0.4239    | 
265     | 0.4324    | 0.4238    | 
266     | 0.4326    | 0.4236    | 
267     | 0.4326    | 0.4239    | 
268     | 0.4327    | 0.4239    | 
269     | 0.4327    | 0.4239    | 
270     | 0.4326    | 0.424     | 
271     | 0.4326    | 0.4239    | 
272     | 0.4326    | 0.424     | 
273     | 0.4326    | 0.424     | 
274     | 0.4327    | 0.4241    | 
275     | 0.4326    | 0.4241    | 
276     | 0.4327    | 0.4242    | 
277     | 0.4328    | 0.4242    | 
278     | 0.4329    | 0.4239    | 
279     | 0.4329    | 0.4238    | 
280     | 0.4328    | 0.4237    | 
281     | 0.4327    | 0.424     | 
282     | 0.4327    | 0.4237    | 
283     | 0.4327    | 0.4237    | 
284     | 0.4327    | 0.4236    | 
285     | 0.4327    | 0.4238    | 
286     | 0.4329    | 0.4236    | 
287     | 0.4329    | 0.4236    | 
288     | 0.4328    | 0.4237    | 
289     | 0.4328    | 0.4238    | 
290     | 0.4328    | 0.4237    | 
291     | 0.4328    | 0.4239    | 
292     | 0.4329    | 0.4239    | 
293     | 0.4328    | 0.4238    | 
294     | 0.4329    | 0.4241    | 
295     | 0.433     | 0.4243    | 
296     | 0.4329    | 0.4241    | 
297     | 0.4329    | 0.424     | 
298     | 0.4328    | 0.4242    | 
