ResNet-62-180:RankLib yantseytsai$ java -Xmx5500m -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold4/train.txt -ranker 3 -test MSLR-WEB10K/Fold4/test.txt -validate MSLR-WEB10K/Fold4/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold4/train.txt
Test data:	MSLR-WEB10K/Fold4/test.txt
Validation data:	MSLR-WEB10K/Fold4/vali.txt
Feature vector representation: Dense.
Ranking method:	AdaRank
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] AdaRank's Parameters:
No. of rounds: 100
Train with 'enequeue': Yes
Tolerance: 0.002
Max Sel. Count: 5

Reading feature file [MSLR-WEB10K/Fold4/train.txt]... [Done.]            
(6000 ranked lists, 718768 entries read)
Reading feature file [MSLR-WEB10K/Fold4/vali.txt]... [Done.]            
(2000 ranked lists, 239093 entries read)
Reading feature file [MSLR-WEB10K/Fold4/test.txt]... [Done.]            
(2000 ranked lists, 242331 entries read)
Initializing... [Done]
---------------------------
Training starts...
--------------------------------------------------------
#iter   | Sel. F.  | NDCG@10-T | NDCG@10-V | Status    | 
--------------------------------------------------------
1       | 134      | 0.3221    | 0.3206    | OK        | 
2       | 134      |           |           | ROLLBACK  | 
3       | 113      | 0.2841    | 0.2838    | OK        | 
4       | 110      | 0.2982    | 0.302     | OK        | 
5       | 49       | 0.2985    | 0.3024    | OK        | 
6       | 49       |           |           | ROLLBACK  | 
7       | 64       | 0.2984    | 0.3023    | OK        | 
8       | 64       |           |           | ROLLBACK  | 
9       | 109      | 0.3033    | 0.3044    | OK        | 
10      | 124      | 0.2995    | 0.3009    | DAMN      | 
10      | 64       | 0.3035    | 0.3045    | OK        | 
11      | 64       | 0.3036    | 0.3047    | OK        | 
12      | 64       | 0.3037    | 0.3049    | OK        | 
13      | 64       | 0.3038    | 0.305     | OK        | 
14      | 135      | 0.3127    | 0.3099    | OK        | 
15      | 64       | 0.3127    | 0.31      | OK        | 
16      | 112      | 0.3164    | 0.3131    | OK        | 
17      | 112      | 0.3177    | 0.3158    | OK        | 
18      | 112      | 0.3171    | 0.3157    | OK        | 
19      | 112      | 0.3167    | 0.3154    | OK        | 
20      | 112      | 0.3165    | 0.3154    | OK        | 
21      | 112      | 0.3164    | 0.3154    | OK        | 
22      | 112      | 0.3161    | 0.3153    | OK        | 
23      | 112      | 0.3159    | 0.3153    | OK        | 
24      | 112      | 0.3164    | 0.3151    | OK        | 
25      | 123      | 0.3199    | 0.3182    | OK        | 
26      | 123      | 0.3222    | 0.3205    | OK        | 
27      | 123      | 0.3241    | 0.3224    | OK        | 
28      | 123      | 0.3259    | 0.3235    | OK        | 
29      | 123      | 0.3269    | 0.325     | OK        | 
30      | 123      | 0.3279    | 0.3262    | OK        | 
31      | 123      | 0.3292    | 0.3271    | OK        | 
32      | 112      | 0.329     | 0.327     | OK        | 
33      | 112      | 0.3291    | 0.3267    | OK        | 
34      | 112      | 0.329     | 0.3266    | OK        | 
35      | 124      | 0.329     | 0.3271    | OK        | 
36      | 124      | 0.329     | 0.3276    | OK        | 
37      | 124      | 0.329     | 0.3275    | OK        | 
38      | 124      | 0.329     | 0.3275    | OK        | 
39      | 124      | 0.3287    | 0.3273    | OK        | 
40      | 124      | 0.3286    | 0.3272    | OK        | 
41      | 124      | 0.3287    | 0.3277    | OK        | 
42      | 112      | 0.3288    | 0.3276    | OK        | 
43      | 112      | 0.3287    | 0.3275    | OK        | 
44      | 112      | 0.3289    | 0.3275    | OK        | 
45      | 112      | 0.3287    | 0.3277    | OK        | 
46      | 112      | 0.3286    | 0.3279    | OK        | 
47      | 112      | 0.3287    | 0.3276    | OK        | 
48      | 112      | 0.3287    | 0.3274    | OK        | 
49      | 112      | 0.3286    | 0.3272    | OK        | 
50      | 112      | 0.3284    | 0.3274    | OK        | 
51      | 112      | 0.3281    | 0.3272    | OK        | 
52      | 112      | 0.3278    | 0.3269    | OK        | 
53      | 112      | 0.3277    | 0.3268    | OK        | 
54      | 112      | 0.3276    | 0.3269    | OK        | 
55      | 112      | 0.3274    | 0.3271    | OK        | 
56      | 112      | 0.3271    | 0.327     | OK        | 
57      | 112      | 0.327     | 0.3271    | OK        | 
58      | 112      | 0.327     | 0.3266    | OK        | 
59      | 124      | 0.327     | 0.3265    | OK        | 
60      | 124      | 0.3272    | 0.3264    | OK        | 
61      | 124      | 0.3273    | 0.3261    | OK        | 
62      | 124      | 0.3274    | 0.3263    | OK        | 
63      | 124      | 0.3275    | 0.3264    | OK        | 
64      | 124      | 0.3275    | 0.3259    | OK        | 
65      | 30       | 0.3281    | 0.3265    | OK        | 
66      | 26       | 0.3274    | 0.3266    | OK        | 
67      | 26       | 0.3271    | 0.3261    | OK        | 
68      | 26       | 0.3266    | 0.3263    | OK        | 
69      | 26       | 0.3257    | 0.3256    | OK        | 
70      | 26       | 0.3253    | 0.3255    | OK        | 
71      | 26       | 0.3249    | 0.3253    | OK        | 
72      | 26       | 0.3245    | 0.3252    | OK        | 
73      | 26       | 0.3243    | 0.3251    | OK        | 
74      | 26       | 0.324     | 0.3254    | OK        | 
75      | 26       | 0.3236    | 0.3253    | OK        | 
76      | 26       | 0.3231    | 0.3253    | OK        | 
77      | 26       | 0.3231    | 0.3252    | OK        | 
78      | 26       | 0.323     | 0.3255    | OK        | 
79      | 26       | 0.3228    | 0.3248    | OK        | 
80      | 26       | 0.3229    | 0.3248    | OK        | 
81      | 54       | 0.3229    | 0.3248    | OK        | 
82      | 54       | 0.3229    | 0.3248    | OK        | 
83      | 54       | 0.3229    | 0.3248    | OK        | 
84      | 54       | 0.3229    | 0.3249    | OK        | 
85      | 54       | 0.3229    | 0.3249    | OK        | 
86      | 54       | 0.3229    | 0.3249    | OK        | 
87      | 54       | 0.3229    | 0.3249    | OK        | 
88      | 54       | 0.3229    | 0.3249    | OK        | 
89      | 54       | 0.3229    | 0.3249    | OK        | 
90      | 54       | 0.3229    | 0.3249    | OK        | 
91      | 54       | 0.3229    | 0.325     | OK        | 
92      | 129      | 0.3234    | 0.3252    | OK        | 
93      | 1        | 0.1962    | 0.1944    | DAMN      | 
93      | 1        | 0.1962    | 0.1944    | DAMN      | 
93      | 1        | 0.1962    | 0.1944    | DAMN      | 
--------------------------------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.3286
NDCG@10 on validation data: 0.3279
---------------------------------
NDCG@10 on test data: 0.3331
ResNet-62-180:RankLib yantseytsai$ 
