java -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold1/train.txt -ranker 6 -test MSLR-WEB10K/Fold1/test.txt -validate MSLR-WEB10K/Fold1/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold1/train.txt
Test data:	MSLR-WEB10K/Fold1/test.txt
Validation data:	MSLR-WEB10K/Fold1/vali.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 10
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [MSLR-WEB10K/Fold1/train.txt]... [Done.]            
(6000 ranked lists, 723412 entries read)
Reading feature file [MSLR-WEB10K/Fold1/vali.txt]... [Done.]            
(2000 ranked lists, 235259 entries read)
Reading feature file [MSLR-WEB10K/Fold1/test.txt]... [Done.]            
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.3469    | 0.3466    | 
2       | 0.3656    | 0.3696    | 
3       | 0.3655    | 0.3697    | 
4       | 0.3655    | 0.3697    | 
5       | 0.3657    | 0.3698    | 
6       | 0.3656    | 0.3698    | 
7       | 0.3666    | 0.3705    | 
8       | 0.3668    | 0.3708    | 
9       | 0.368     | 0.3727    | 
10      | 0.3678    | 0.3717    | 
11      | 0.3674    | 0.3716    | 
12      | 0.368     | 0.3723    | 
13      | 0.3703    | 0.3751    | 
14      | 0.3719    | 0.377     | 
15      | 0.3723    | 0.377     | 
16      | 0.3727    | 0.378     | 
17      | 0.3762    | 0.381     | 
18      | 0.3769    | 0.3818    | 
19      | 0.3785    | 0.3833    | 
20      | 0.3789    | 0.385     | 
21      | 0.3816    | 0.3873    | 
22      | 0.3833    | 0.3889    | 
23      | 0.3843    | 0.3902    | 
24      | 0.3847    | 0.3906    | 
25      | 0.3856    | 0.3917    | 
26      | 0.3865    | 0.3919    | 
27      | 0.3864    | 0.3922    | 
28      | 0.3886    | 0.3943    | 
29      | 0.3904    | 0.3965    | 
30      | 0.391     | 0.3976    | 
31      | 0.3916    | 0.3976    | 
32      | 0.3927    | 0.3986    | 
33      | 0.394     | 0.3999    | 
34      | 0.3947    | 0.4005    | 
35      | 0.3952    | 0.4013    | 
36      | 0.396     | 0.4019    | 
37      | 0.398     | 0.4033    | 
38      | 0.3982    | 0.4038    | 
39      | 0.3998    | 0.405     | 
40      | 0.4003    | 0.4055    | 
41      | 0.4015    | 0.4068    | 
42      | 0.4021    | 0.4071    | 
43      | 0.403     | 0.4076    | 
44      | 0.4034    | 0.4084    | 
45      | 0.4038    | 0.4087    | 
46      | 0.4045    | 0.4086    | 
47      | 0.405     | 0.409     | 
48      | 0.4053    | 0.4091    | 
49      | 0.4055    | 0.4096    | 
50      | 0.4062    | 0.41      | 
51      | 0.4069    | 0.41      | 
52      | 0.4071    | 0.41      | 
53      | 0.4074    | 0.4108    | 
54      | 0.4077    | 0.4115    | 
55      | 0.408     | 0.4116    | 
56      | 0.4082    | 0.4122    | 
57      | 0.4084    | 0.4129    | 
58      | 0.4086    | 0.4128    | 
59      | 0.409     | 0.4132    | 
60      | 0.4093    | 0.4134    | 
61      | 0.4096    | 0.4136    | 
62      | 0.4099    | 0.414     | 
63      | 0.4103    | 0.4142    | 
64      | 0.4103    | 0.4153    | 
65      | 0.4107    | 0.4152    | 
66      | 0.4111    | 0.4152    | 
67      | 0.4114    | 0.4157    | 
68      | 0.4115    | 0.4158    | 
69      | 0.4118    | 0.4159    | 
70      | 0.4119    | 0.4159    | 
71      | 0.4121    | 0.4158    | 
72      | 0.4125    | 0.4159    | 
73      | 0.4127    | 0.4162    | 
74      | 0.4128    | 0.4162    | 
75      | 0.413     | 0.4162    | 
76      | 0.4135    | 0.4161    | 
77      | 0.4139    | 0.4168    | 
78      | 0.4144    | 0.4169    | 
79      | 0.4147    | 0.4173    | 
80      | 0.4148    | 0.4181    | 
81      | 0.4153    | 0.4181    | 
82      | 0.4155    | 0.4182    | 
83      | 0.4157    | 0.4185    | 
84      | 0.4157    | 0.4182    | 
85      | 0.416     | 0.4185    | 
86      | 0.4161    | 0.4188    | 
87      | 0.4167    | 0.419     | 
88      | 0.4168    | 0.4197    | 
89      | 0.4169    | 0.4201    | 
90      | 0.4169    | 0.4201    | 
91      | 0.4169    | 0.4201    | 
92      | 0.4171    | 0.4204    | 
93      | 0.4172    | 0.4206    | 
94      | 0.4174    | 0.421     | 
95      | 0.4176    | 0.4214    | 
96      | 0.4176    | 0.4215    | 
97      | 0.4177    | 0.4217    | 
98      | 0.4178    | 0.4216    | 
99      | 0.418     | 0.4216    | 
100     | 0.4182    | 0.4221    | 
101     | 0.4184    | 0.4226    | 
102     | 0.4185    | 0.4228    | 
103     | 0.4187    | 0.4223    | 
104     | 0.4192    | 0.4225    | 
105     | 0.4192    | 0.4226    | 
106     | 0.4193    | 0.4231    | 
107     | 0.4193    | 0.4233    | 
108     | 0.4195    | 0.4232    | 
109     | 0.4195    | 0.4232    | 
110     | 0.4195    | 0.4231    | 
111     | 0.4196    | 0.4232    | 
112     | 0.4197    | 0.4234    | 
