ResNet-62-180:RankLib yantseytsai$ java -Xmx5500m -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold2/train.txt -ranker 3 -test MSLR-WEB10K/Fold2/test.txt -validate MSLR-WEB10K/Fold2/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold2/train.txt
Test data:	MSLR-WEB10K/Fold2/test.txt
Validation data:	MSLR-WEB10K/Fold2/vali.txt
Feature vector representation: Dense.
Ranking method:	AdaRank
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] AdaRank's Parameters:
No. of rounds: 100
Train with 'enequeue': Yes
Tolerance: 0.002
Max Sel. Count: 5

Reading feature file [MSLR-WEB10K/Fold2/train.txt]... [Done.]            
(6000 ranked lists, 716683 entries read)
Reading feature file [MSLR-WEB10K/Fold2/vali.txt]... [Done.]            
(2000 ranked lists, 241521 entries read)
Reading feature file [MSLR-WEB10K/Fold2/test.txt]... [Done.]            
(2000 ranked lists, 241988 entries read)
Initializing... [Done]
---------------------------
Training starts...
--------------------------------------------------------
#iter   | Sel. F.  | NDCG@10-T | NDCG@10-V | Status    | 
--------------------------------------------------------
1       | 134      | 0.3219    | 0.3154    | OK        | 
2       | 134      |           |           | ROLLBACK  | 
3       | 110      | 0.2869    | 0.2765    | OK        | 
4       | 113      | 0.3018    | 0.296     | OK        | 
5       | 49       | 0.3024    | 0.2963    | OK        | 
6       | 49       |           |           | ROLLBACK  | 
7       | 64       | 0.3023    | 0.2963    | OK        | 
8       | 64       |           |           | ROLLBACK  | 
9       | 109      | 0.306     | 0.3022    | OK        | 
10      | 113      | 0.3071    | 0.3035    | OK        | 
11      | 109      | 0.3051    | 0.3032    | OK        | 
12      | 123      | 0.3075    | 0.3041    | OK        | 
13      | 123      |           |           | ROLLBACK  | 
14      | 113      | 0.306     | 0.3033    | OK        | 
15      | 113      |           |           | ROLLBACK  | 
16      | 108      | 0.3017    | 0.2971    | DAMN      | 
16      | 113      | 0.306     | 0.3033    | OK        | 
17      | 113      | 0.3062    | 0.3036    | OK        | 
18      | 135      | 0.3221    | 0.3182    | OK        | 
19      | 135      | 0.3169    | 0.3106    | DAMN      | 
19      | 123      | 0.3242    | 0.3205    | OK        | 
20      | 123      | 0.3259    | 0.3223    | OK        | 
21      | 123      | 0.3267    | 0.3232    | OK        | 
22      | 112      | 0.329     | 0.325     | OK        | 
23      | 112      | 0.3307    | 0.3261    | OK        | 
24      | 112      | 0.3313    | 0.3268    | OK        | 
25      | 112      | 0.3316    | 0.3266    | OK        | 
26      | 112      | 0.3318    | 0.3266    | OK        | 
27      | 112      | 0.3316    | 0.3264    | OK        | 
28      | 112      | 0.3314    | 0.3261    | OK        | 
29      | 112      | 0.3313    | 0.3252    | OK        | 
30      | 112      | 0.3311    | 0.3253    | OK        | 
31      | 112      | 0.3308    | 0.3253    | OK        | 
32      | 112      | 0.3305    | 0.325     | OK        | 
33      | 112      | 0.3301    | 0.3245    | OK        | 
34      | 112      | 0.3297    | 0.3237    | OK        | 
35      | 112      | 0.3296    | 0.3237    | OK        | 
36      | 112      | 0.3296    | 0.3237    | OK        | 
37      | 112      | 0.3294    | 0.3239    | OK        | 
38      | 112      | 0.3295    | 0.3238    | OK        | 
39      | 112      | 0.3294    | 0.3238    | OK        | 
40      | 112      | 0.3291    | 0.3236    | OK        | 
41      | 112      | 0.3288    | 0.3234    | OK        | 
42      | 112      | 0.3286    | 0.3233    | OK        | 
43      | 112      | 0.3283    | 0.3231    | OK        | 
44      | 112      | 0.3283    | 0.3229    | OK        | 
45      | 112      | 0.328     | 0.3229    | OK        | 
46      | 124      | 0.3285    | 0.3226    | OK        | 
47      | 124      | 0.3284    | 0.3229    | OK        | 
48      | 124      | 0.3285    | 0.3231    | OK        | 
49      | 124      | 0.3286    | 0.3229    | OK        | 
50      | 124      | 0.3286    | 0.3229    | OK        | 
51      | 123      | 0.3292    | 0.3233    | OK        | 
52      | 123      | 0.3299    | 0.3239    | OK        | 
53      | 123      | 0.3304    | 0.3248    | OK        | 
54      | 123      | 0.3306    | 0.3257    | OK        | 
55      | 123      | 0.3312    | 0.3263    | OK        | 
56      | 123      | 0.3316    | 0.3268    | OK        | 
57      | 123      | 0.3321    | 0.3272    | OK        | 
58      | 123      | 0.3325    | 0.3273    | OK        | 
59      | 123      | 0.3329    | 0.3278    | OK        | 
60      | 124      | 0.333     | 0.3277    | OK        | 
61      | 124      | 0.3327    | 0.3276    | OK        | 
62      | 124      | 0.3327    | 0.328     | OK        | 
63      | 124      | 0.3323    | 0.3279    | OK        | 
64      | 124      | 0.3325    | 0.3279    | OK        | 
65      | 124      | 0.3324    | 0.328     | OK        | 
66      | 124      | 0.3322    | 0.3281    | OK        | 
67      | 124      | 0.3323    | 0.3279    | OK        | 
68      | 124      | 0.3323    | 0.3282    | OK        | 
69      | 129      | 0.335     | 0.3308    | OK        | 
70      | 129      | 0.3361    | 0.3326    | OK        | 
71      | 129      | 0.3366    | 0.3323    | OK        | 
72      | 129      | 0.336     | 0.3326    | OK        | 
73      | 123      | 0.3364    | 0.3329    | OK        | 
74      | 123      | 0.3368    | 0.3333    | OK        | 
75      | 123      | 0.3372    | 0.3336    | OK        | 
76      | 123      | 0.3375    | 0.3337    | OK        | 
77      | 123      | 0.3375    | 0.3334    | OK        | 
78      | 26       | 0.3379    | 0.3332    | OK        | 
79      | 26       | 0.3379    | 0.3328    | OK        | 
80      | 26       | 0.3377    | 0.3319    | OK        | 
81      | 26       | 0.3373    | 0.332     | OK        | 
82      | 26       | 0.3368    | 0.3312    | OK        | 
83      | 26       | 0.3361    | 0.3309    | OK        | 
84      | 26       | 0.3356    | 0.3303    | OK        | 
85      | 26       | 0.3351    | 0.3298    | OK        | 
86      | 26       | 0.3347    | 0.329     | OK        | 
87      | 26       | 0.3345    | 0.3289    | OK        | 
88      | 26       | 0.3339    | 0.3291    | OK        | 
89      | 26       | 0.3336    | 0.3283    | OK        | 
90      | 22       | 0.3337    | 0.3284    | OK        | 
91      | 22       | 0.3337    | 0.3285    | OK        | 
92      | 22       | 0.3338    | 0.3286    | OK        | 
93      | 22       | 0.3338    | 0.3288    | OK        | 
94      | 22       | 0.3338    | 0.3289    | OK        | 
95      | 22       | 0.3338    | 0.329     | OK        | 
96      | 70       | 0.3338    | 0.329     | OK        | 
97      | 1        | 0.1971    | 0.1937    | DAMN      | 
97      | 1        | 0.1971    | 0.1937    | DAMN      | 
97      | 1        | 0.1971    | 0.1937    | DAMN      | 
97      | 1        | 0.1971    | 0.1937    | DAMN      | 
--------------------------------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.3375
NDCG@10 on validation data: 0.3337
---------------------------------
NDCG@10 on test data: 0.3397
ResNet-62-180:RankLib yantseytsai$ 
