java -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold3/train.txt -ranker 6 -test MSLR-WEB10K/Fold3/test.txt -validate MSLR-WEB10K/Fold3/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold3/train.txt
Test data:	MSLR-WEB10K/Fold3/test.txt
Validation data:	MSLR-WEB10K/Fold3/vali.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 10
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [MSLR-WEB10K/Fold3/train.txt]... [Done.]            
(6000 ranked lists, 719111 entries read)
Reading feature file [MSLR-WEB10K/Fold3/vali.txt]... [Done.]            
(2000 ranked lists, 241988 entries read)
Reading feature file [MSLR-WEB10K/Fold3/test.txt]... [Done.]            
(2000 ranked lists, 239093 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.3342    | 0.3323    | 
2       | 0.3556    | 0.3543    | 
3       | 0.3549    | 0.3539    | 
4       | 0.3549    | 0.3539    | 
5       | 0.3549    | 0.3539    | 
6       | 0.3636    | 0.3629    | 
7       | 0.3633    | 0.3627    | 
8       | 0.3635    | 0.363     | 
9       | 0.366     | 0.3652    | 
10      | 0.3656    | 0.365     | 
11      | 0.3658    | 0.3656    | 
12      | 0.3683    | 0.367     | 
13      | 0.3688    | 0.3682    | 
14      | 0.3692    | 0.3685    | 
15      | 0.3697    | 0.3687    | 
16      | 0.3701    | 0.3691    | 
17      | 0.3738    | 0.373     | 
18      | 0.3761    | 0.3761    | 
19      | 0.3771    | 0.377     | 
20      | 0.3783    | 0.3779    | 
21      | 0.3792    | 0.3787    | 
22      | 0.3806    | 0.3808    | 
23      | 0.3821    | 0.3807    | 
24      | 0.3824    | 0.381     | 
25      | 0.3832    | 0.3822    | 
26      | 0.3849    | 0.3849    | 
27      | 0.3859    | 0.3877    | 
28      | 0.3877    | 0.3895    | 
29      | 0.3893    | 0.3903    | 
30      | 0.3917    | 0.3917    | 
31      | 0.3919    | 0.3925    | 
32      | 0.3923    | 0.3925    | 
33      | 0.3929    | 0.3932    | 
34      | 0.393     | 0.3937    | 
35      | 0.3942    | 0.3942    | 
36      | 0.3945    | 0.3935    | 
37      | 0.3955    | 0.395     | 
38      | 0.3968    | 0.3965    | 
39      | 0.3979    | 0.3974    | 
40      | 0.3986    | 0.3981    | 
41      | 0.3991    | 0.3977    | 
42      | 0.3995    | 0.3977    | 
43      | 0.4003    | 0.3983    | 
44      | 0.4009    | 0.3991    | 
45      | 0.4015    | 0.4005    | 
46      | 0.4021    | 0.4011    | 
47      | 0.403     | 0.4009    | 
48      | 0.4031    | 0.4012    | 
49      | 0.4038    | 0.4016    | 
50      | 0.4044    | 0.4026    | 
51      | 0.4053    | 0.4033    | 
52      | 0.4053    | 0.4034    | 
53      | 0.4061    | 0.4038    | 
54      | 0.4067    | 0.4044    | 
55      | 0.4071    | 0.4049    | 
56      | 0.4077    | 0.4058    | 
57      | 0.4081    | 0.4059    | 
58      | 0.4086    | 0.4058    | 
59      | 0.4093    | 0.4065    | 
60      | 0.4095    | 0.4063    | 
61      | 0.4098    | 0.4065    | 
62      | 0.4105    | 0.4068    | 
63      | 0.4104    | 0.4068    | 
64      | 0.4107    | 0.4073    | 
65      | 0.4112    | 0.4076    | 
66      | 0.4113    | 0.4075    | 
67      | 0.4116    | 0.4076    | 
68      | 0.4124    | 0.4082    | 
69      | 0.4126    | 0.4087    | 
70      | 0.4124    | 0.4082    | 
71      | 0.4127    | 0.4084    | 
72      | 0.4132    | 0.4088    | 
73      | 0.4133    | 0.409     | 
74      | 0.4137    | 0.4094    | 
75      | 0.4137    | 0.4097    | 
76      | 0.414     | 0.4102    | 
77      | 0.4144    | 0.4106    | 
78      | 0.4146    | 0.4102    | 
79      | 0.4151    | 0.4105    | 
80      | 0.4152    | 0.4108    | 
81      | 0.416     | 0.4106    | 
82      | 0.416     | 0.4118    | 
83      | 0.4161    | 0.4117    | 
84      | 0.416     | 0.4117    | 
85      | 0.4162    | 0.4116    | 
86      | 0.4165    | 0.412     | 
87      | 0.4167    | 0.4123    | 
88      | 0.4169    | 0.412     | 
89      | 0.417     | 0.4123    | 
90      | 0.4172    | 0.4123    | 
91      | 0.4175    | 0.412     | 
92      | 0.4178    | 0.4124    | 
93      | 0.4181    | 0.4128    | 
94      | 0.4184    | 0.4125    | 
95      | 0.4187    | 0.4127    | 
96      | 0.419     | 0.4129    | 
97      | 0.4189    | 0.4132    | 
98      | 0.4188    | 0.4137    | 
99      | 0.419     | 0.4137    | 
100     | 0.4193    | 0.414     | 
101     | 0.4198    | 0.4145    | 
102     | 0.4201    | 0.4145    | 
103     | 0.4204    | 0.4146    | 
104     | 0.4206    | 0.415     | 
105     | 0.4206    | 0.4153    | 
106     | 0.4207    | 0.4153    | 
107     | 0.421     | 0.4155    | 
108     | 0.4212    | 0.4154    | 
109     | 0.4214    | 0.4149    | 
110     | 0.4216    | 0.4151    | 
111     | 0.4218    | 0.4153    | 
112     | 0.4217    | 0.4154    | 
113     | 0.4219    | 0.4153    | 
114     | 0.422     | 0.4155    | 
115     | 0.4221    | 0.4157    | 
116     | 0.4222    | 0.4155    | 
117     | 0.4224    | 0.4155    | 
118     | 0.4224    | 0.4158    | 
