java -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold5/train.txt -ranker 6 -test MSLR-WEB10K/Fold5/test.txt -validate MSLR-WEB10K/Fold5/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold5/train.txt
Test data:	MSLR-WEB10K/Fold5/test.txt
Validation data:	MSLR-WEB10K/Fold5/vali.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 10
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [MSLR-WEB10K/Fold5/train.txt]... [Done.]            
(6000 ranked lists, 722602 entries read)
Reading feature file [MSLR-WEB10K/Fold5/vali.txt]... [Done.]            
(2000 ranked lists, 242331 entries read)
Reading feature file [MSLR-WEB10K/Fold5/test.txt]... [Done.]            
(2000 ranked lists, 235259 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.3277    | 0.3273    | 
2       | 0.3446    | 0.3427    | 
3       | 0.3445    | 0.343     | 
4       | 0.3445    | 0.343     | 
5       | 0.3449    | 0.3438    | 
6       | 0.3448    | 0.3439    | 
7       | 0.3448    | 0.3439    | 
8       | 0.3448    | 0.3439    | 
9       | 0.3448    | 0.3439    | 
10      | 0.3516    | 0.3495    | 
11      | 0.3525    | 0.3505    | 
12      | 0.3553    | 0.3532    | 
13      | 0.3643    | 0.3626    | 
14      | 0.3675    | 0.3664    | 
15      | 0.3674    | 0.3662    | 
16      | 0.3674    | 0.3662    | 
17      | 0.3698    | 0.3684    | 
18      | 0.3737    | 0.3732    | 
19      | 0.3743    | 0.3738    | 
20      | 0.3768    | 0.377     | 
21      | 0.3783    | 0.3778    | 
22      | 0.3788    | 0.3787    | 
23      | 0.3793    | 0.3785    | 
24      | 0.3801    | 0.3789    | 
25      | 0.3822    | 0.3818    | 
26      | 0.3829    | 0.3826    | 
27      | 0.3842    | 0.3839    | 
28      | 0.3854    | 0.3846    | 
29      | 0.3863    | 0.3854    | 
30      | 0.3872    | 0.3866    | 
31      | 0.3885    | 0.3881    | 
32      | 0.3903    | 0.3906    | 
33      | 0.3905    | 0.3907    | 
34      | 0.3917    | 0.3934    | 
35      | 0.3927    | 0.3939    | 
36      | 0.3937    | 0.3944    | 
37      | 0.3941    | 0.3943    | 
